# ----------------------------------------,,,,,,
# Reports snapshot,,,,,,
# Account: BGW Doors,,,,,,
# Property: BGW Doors,,,,,,
# ----------------------------------------,,,,,,
#,,,,,,
# Start date: 20260101,,,,,,
# End date: 20260709,,,,,,
Sessions,Add to carts,Purchases,Checkouts,,,
65848,963,44,566,,,
,,,,,,
#,,,,,,
# Start date: 20260101,,,,,,
# End date: 20260709,,,,,,
Nth day,Active users,,,,,
0,122,,,,,
1,131,,,,,
2,229,,,,,
3,151,,,,,
4,123,,,,,
5,144,,,,,
6,85,,,,,
7,65,,,,,
8,73,,,,,
9,67,,,,,
10,70,,,,,
11,104,,,,,
12,64,,,,,
13,84,,,,,
14,50,,,,,
15,80,,,,,
16,101,,,,,
17,146,,,,,
18,66,,,,,
19,100,,,,,
20,88,,,,,
21,70,,,,,
22,60,,,,,
23,58,,,,,
24,1,,,,,
25,2,,,,,
26,47,,,,,
27,49,,,,,
28,42,,,,,
29,40,,,,,
30,35,,,,,
31,36,,,,,
32,49,,,,,
33,55,,,,,
34,73,,,,,
35,62,,,,,
36,50,,,,,
37,52,,,,,
38,49,,,,,
39,93,,,,,
40,81,,,,,
41,98,,,,,
42,80,,,,,
43,72,,,,,
44,74,,,,,
45,114,,,,,
46,92,,,,,
47,109,,,,,
48,103,,,,,
49,82,,,,,
50,96,,,,,
51,88,,,,,
52,84,,,,,
53,93,,,,,
54,100,,,,,
55,232,,,,,
56,317,,,,,
57,236,,,,,
58,273,,,,,
59,440,,,,,
60,362,,,,,
61,216,,,,,
62,266,,,,,
63,212,,,,,
64,288,,,,,
65,322,,,,,
66,268,,,,,
67,308,,,,,
68,328,,,,,
69,549,,,,,
70,1386,,,,,
71,411,,,,,
72,1459,,,,,
73,1035,,,,,
74,576,,,,,
75,667,,,,,
76,261,,,,,
77,233,,,,,
78,265,,,,,
79,243,,,,,
80,366,,,,,
81,265,,,,,
82,283,,,,,
83,257,,,,,
84,308,,,,,
85,362,,,,,
86,301,,,,,
87,293,,,,,
88,311,,,,,
89,370,,,,,
90,326,,,,,
91,321,,,,,
92,362,,,,,
93,313,,,,,
94,432,,,,,
95,365,,,,,
96,242,,,,,
97,272,,,,,
98,362,,,,,
99,309,,,,,
100,417,,,,,
101,397,,,,,
102,339,,,,,
103,350,,,,,
104,334,,,,,
105,365,,,,,
106,273,,,,,
107,484,,,,,
108,411,,,,,
109,333,,,,,
110,262,,,,,
111,275,,,,,
112,366,,,,,
113,240,,,,,
114,229,,,,,
115,287,,,,,
116,249,,,,,
117,246,,,,,
118,233,,,,,
119,201,,,,,
120,210,,,,,
121,203,,,,,
122,237,,,,,
123,195,,,,,
124,169,,,,,
125,186,,,,,
126,219,,,,,
127,173,,,,,
128,158,,,,,
129,170,,,,,
130,256,,,,,
131,159,,,,,
132,100,,,,,
133,75,,,,,
134,91,,,,,
135,106,,,,,
136,112,,,,,
137,89,,,,,
138,91,,,,,
139,99,,,,,
140,64,,,,,
141,266,,,,,
142,511,,,,,
143,749,,,,,
144,499,,,,,
145,533,,,,,
146,496,,,,,
147,463,,,,,
148,517,,,,,
149,600,,,,,
150,648,,,,,
151,481,,,,,
152,553,,,,,
153,445,,,,,
154,465,,,,,
155,485,,,,,
156,622,,,,,
157,580,,,,,
158,584,,,,,
159,610,,,,,
160,612,,,,,
161,594,,,,,
162,585,,,,,
163,688,,,,,
164,899,,,,,
165,584,,,,,
166,617,,,,,
167,658,,,,,
168,579,,,,,
169,639,,,,,
170,642,,,,,
171,789,,,,,
172,551,,,,,
173,531,,,,,
174,605,,,,,
175,621,,,,,
176,528,,,,,
177,778,,,,,
178,813,,,,,
179,631,,,,,
180,742,,,,,
181,526,,,,,
182,421,,,,,
183,445,,,,,
184,533,,,,,
185,508,,,,,
186,527,,,,,
187,565,,,,,
188,477,,,,,
189,136,,,,,
,,,,,,
# Start date: 20260101,,,,,,
# End date: 20260709,,,,,,
Nth day,New users,,,,,
0,117,,,,,
1,126,,,,,
2,224,,,,,
3,146,,,,,
4,113,,,,,
5,134,,,,,
6,76,,,,,
7,59,,,,,
8,68,,,,,
9,62,,,,,
10,65,,,,,
11,94,,,,,
12,50,,,,,
13,78,,,,,
14,44,,,,,
15,73,,,,,
16,92,,,,,
17,137,,,,,
18,61,,,,,
19,90,,,,,
20,77,,,,,
21,64,,,,,
22,52,,,,,
23,50,,,,,
24,1,,,,,
25,2,,,,,
26,42,,,,,
27,44,,,,,
28,35,,,,,
29,31,,,,,
30,34,,,,,
31,33,,,,,
32,40,,,,,
33,49,,,,,
34,64,,,,,
35,58,,,,,
36,42,,,,,
37,50,,,,,
38,46,,,,,
39,93,,,,,
40,73,,,,,
41,90,,,,,
42,73,,,,,
43,69,,,,,
44,72,,,,,
45,108,,,,,
46,88,,,,,
47,106,,,,,
48,97,,,,,
49,76,,,,,
50,92,,,,,
51,84,,,,,
52,82,,,,,
53,83,,,,,
54,89,,,,,
55,218,,,,,
56,293,,,,,
57,220,,,,,
58,256,,,,,
59,431,,,,,
60,341,,,,,
61,199,,,,,
62,246,,,,,
63,192,,,,,
64,271,,,,,
65,304,,,,,
66,242,,,,,
67,281,,,,,
68,292,,,,,
69,513,,,,,
70,1343,,,,,
71,393,,,,,
72,1408,,,,,
73,1011,,,,,
74,537,,,,,
75,642,,,,,
76,235,,,,,
77,220,,,,,
78,247,,,,,
79,222,,,,,
80,343,,,,,
81,230,,,,,
82,252,,,,,
83,224,,,,,
84,275,,,,,
85,325,,,,,
86,284,,,,,
87,268,,,,,
88,277,,,,,
89,338,,,,,
90,283,,,,,
91,277,,,,,
92,317,,,,,
93,274,,,,,
94,391,,,,,
95,322,,,,,
96,214,,,,,
97,247,,,,,
98,328,,,,,
99,271,,,,,
100,370,,,,,
101,364,,,,,
102,290,,,,,
103,310,,,,,
104,299,,,,,
105,328,,,,,
106,239,,,,,
107,430,,,,,
108,380,,,,,
109,282,,,,,
110,225,,,,,
111,235,,,,,
112,324,,,,,
113,200,,,,,
114,196,,,,,
115,272,,,,,
116,209,,,,,
117,217,,,,,
118,203,,,,,
119,170,,,,,
120,176,,,,,
121,180,,,,,
122,206,,,,,
123,159,,,,,
124,151,,,,,
125,162,,,,,
126,184,,,,,
127,146,,,,,
128,140,,,,,
129,152,,,,,
130,223,,,,,
131,125,,,,,
132,79,,,,,
133,61,,,,,
134,79,,,,,
135,101,,,,,
136,101,,,,,
137,80,,,,,
138,82,,,,,
139,83,,,,,
140,51,,,,,
141,252,,,,,
142,503,,,,,
143,725,,,,,
144,466,,,,,
145,504,,,,,
146,463,,,,,
147,426,,,,,
148,481,,,,,
149,569,,,,,
150,619,,,,,
151,437,,,,,
152,515,,,,,
153,401,,,,,
154,423,,,,,
155,447,,,,,
156,577,,,,,
157,527,,,,,
158,538,,,,,
159,566,,,,,
160,557,,,,,
161,556,,,,,
162,548,,,,,
163,647,,,,,
164,846,,,,,
165,531,,,,,
166,561,,,,,
167,615,,,,,
168,513,,,,,
169,574,,,,,
170,589,,,,,
171,740,,,,,
172,499,,,,,
173,477,,,,,
174,557,,,,,
175,562,,,,,
176,485,,,,,
177,726,,,,,
178,767,,,,,
179,592,,,,,
180,696,,,,,
181,478,,,,,
182,378,,,,,
183,411,,,,,
184,500,,,,,
185,475,,,,,
186,497,,,,,
187,535,,,,,
188,399,,,,,
189,122,,,,,
,,,,,,
# Start date: 20260101,,,,,,
# End date: 20260709,,,,,,
Nth day,Average engagement time per active user,,,,,
0,39.09836066,,,,,
1,27.72519084,,,,,
2,18.28384279,,,,,
3,24.64238411,,,,,
4,65.42276423,,,,,
5,34.00694444,,,,,
6,79.89411765,,,,,
7,246.7076923,,,,,
8,80.97260274,,,,,
9,51.44776119,,,,,
10,43.52857143,,,,,
11,61.81730769,,,,,
12,74.015625,,,,,
13,52.58333333,,,,,
14,117.5,,,,,
15,157.95,,,,,
16,84.55445545,,,,,
17,49.62328767,,,,,
18,61.21212121,,,,,
19,66.56,,,,,
20,73.03409091,,,,,
21,76.68571429,,,,,
22,147.4666667,,,,,
23,79.39655172,,,,,
24,0,,,,,
25,0.5,,,,,
26,45.40425532,,,,,
27,53.93877551,,,,,
28,195.4761905,,,,,
29,121.675,,,,,
30,56.4,,,,,
31,48.55555556,,,,,
32,69.2244898,,,,,
33,47.09090909,,,,,
34,50.71232877,,,,,
35,46.4516129,,,,,
36,56.3,,,,,
37,60.98076923,,,,,
38,78.30612245,,,,,
39,58.55913978,,,,,
40,112.9259259,,,,,
41,76.26530612,,,,,
42,129.4375,,,,,
43,90.80555556,,,,,
44,46.01351351,,,,,
45,80.60526316,,,,,
46,42.48913043,,,,,
47,59.86238532,,,,,
48,64.45631068,,,,,
49,86.7195122,,,,,
50,76.54166667,,,,,
51,68.89772727,,,,,
52,51.46428571,,,,,
53,162.0752688,,,,,
54,125.45,,,,,
55,69.38793103,,,,,
56,75.35962145,,,,,
57,59.55084746,,,,,
58,49.82417582,,,,,
59,38.48409091,,,,,
60,46.91160221,,,,,
61,74.30092593,,,,,
62,68.15037594,,,,,
63,46.48584906,,,,,
64,74.02083333,,,,,
65,47.1863354,,,,,
66,53.60074627,,,,,
67,73.02272727,,,,,
68,73.89939024,,,,,
69,37.9435337,,,,,
70,15.41991342,,,,,
71,46.04379562,,,,,
72,14.60726525,,,,,
73,22.39323671,,,,,
74,38.15451389,,,,,
75,27.53373313,,,,,
76,67.50957854,,,,,
77,65.21888412,,,,,
78,67.54716981,,,,,
79,63.79835391,,,,,
80,66.79781421,,,,,
81,103.7018868,,,,,
82,112,,,,,
83,75.3229572,,,,,
84,71.28896104,,,,,
85,43.62707182,,,,,
86,69.18272425,,,,,
87,73.51877133,,,,,
88,63.91318328,,,,,
89,70.2027027,,,,,
90,70.25153374,,,,,
91,65.70093458,,,,,
92,52.47237569,,,,,
93,48.19169329,,,,,
94,56.40277778,,,,,
95,60.56164384,,,,,
96,60.56198347,,,,,
97,67.02573529,,,,,
98,50.0359116,,,,,
99,49.56957929,,,,,
100,46.76258993,,,,,
101,45.55919395,,,,,
102,66.57227139,,,,,
103,67.45714286,,,,,
104,61.28742515,,,,,
105,61.9890411,,,,,
106,46.75091575,,,,,
107,62.28719008,,,,,
108,50.1946472,,,,,
109,61.32732733,,,,,
110,83.6259542,,,,,
111,44.16727273,,,,,
112,60.20218579,,,,,
113,60.79583333,,,,,
114,54.95196507,,,,,
115,51.04181185,,,,,
116,121.7269076,,,,,
117,60.26829268,,,,,
118,57.75107296,,,,,
119,69.49751244,,,,,
120,85.56666667,,,,,
121,53.38916256,,,,,
122,49.19409283,,,,,
123,55.75384615,,,,,
124,48.99408284,,,,,
