Search terms report
"April 1, 2026 - June 29, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Currency code,TrueView avg. CPV,Avg. CPM,Clicks,Impr.,CTR,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
kings auto center fort collins,Exact match (close variant),None,Search - Brand [LID34788] [CID6645],King's Auto Center,USD,0,404.71,30,123,24.39%,1.66,49.78,Search,36.67%,11.00,4.53
dodge mechanic near me,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
matt parker mechanic,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
friesens fort collins,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
auto mechanics near me,Exact match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
flying wrenches,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
triple a fort collins,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,2,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
saving grace automotive,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
salta automotive,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,2,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
h&r repair,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,2,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
alignment fort collins,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
car inspection service before buying,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
jeep service fort collins,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,3,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
dellenbach chevrolet fort collins,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
707 automotive,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
loyola automotive,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
lcp tires,Performance Max,None,Pmax - Local Ads [LID34788] [CID6645], --,USD,0,0.00,0,1,0.00%,0,0.00,Performance Max,0.00%,0.00,0.00
kennedy automotive,AI Max,None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,3,0.00%,0,0.00,Search,0.00%,0.00,0.00
kia service,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,3,0.00%,0,0.00,Search,0.00%,0.00,0.00
fort collins kia service department,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,5,0.00%,0,0.00,Search,0.00%,0.00,0.00
volkswagen repair near me,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,2,0.00%,0,0.00,Search,0.00%,0.00,0.00
audi mechanic,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
subaru of america customer service,Broad match,None,Search - Services [LID34788] [CID6645],Subaru Specialist,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
2006 subaru outback headlight,Broad match,None,Search - Services [LID34788] [CID6645],Subaru Specialist,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
automotive electrical repair,Phrase match (close variant),None,Search - Services [LID34788] [CID6645],Mechanic Fort Collins,USD,0,0.00,0,1,0.00%,0,0.00,Search,0.00%,0.00,0.00
